"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
4.5,-164,64,1.05768272129861
4.5,-164,66,1.00158328734371
4.5,-164,68,0.947966619610927
4.5,-164,70,0.896845818133382
4.5,-164,72,0.848208919164411
4.5,-164,74,0.802022509562563
4.5,-164,76,0.758235168008441
4.5,-164,78,0.716780690505198
4.5,-164,80,0.677581071041128
4.5,-164,82,0.640549220041798
4.5,-164,84,0.605591413203236
4.5,-164,86,0.572609471462558
4.5,-164,88,0.541502679287939
4.5,-164,90,0.512169453270389
4.5,-164,92,0.484508776328792
4.5,-164,94,0.458421414873971
4.5,-164,96,0.433810937206611
4.5,-164,98,0.410584551440153
4.5,-164,100,0.388653780532126
4.5,-164,102,0.367934990756774
4.5,-164,104,0.34834978832799
4.5,-164,106,0.329825297041967
4.5,-164,108,0.312294327897645
4.5,-164,110,0.295695449800294
4.5,-164,112,0.279972968775556
4.5,-164,114,0.265076821719376
4.5,-164,116,0.250962389668297
4.5,-164,118,0.237590234961697
4.5,-164,120,0.224925766528811
4.5,-164,122,0.212938837891349
4.5,-164,124,0.201603283322925
4.5,-164,126,0.190896398915203
4.5,-164,128,0.180798377001404
4.5,-164,130,0.171291704381599
4.5,-164,132,0.162360536949595
4.5,-164,134,0.153990065478398
4.5,-164,136,0.14616588929707
4.5,-164,138,0.138873416189815
4.5,-164,140,0.132097307869156
4.5,-164,142,0.125820990632585
4.5,-164,144,0.120026250146769
4.5,-164,146,0.114692927600819
